# Epoch,Total Loss,Schrodinger0,normalization0,correlations0,energy_constraint0,energy_difference0,energy_minimization0,Schrodinger1,normalization1,correlations1,energy_constraint1,energy_difference1,energy_minimization1,Schrodinger2,normalization2,correlations2,energy_constraint2,energy_difference2,energy_minimization2
0.000000,30870.189453,9613.102539,0.001556,0.000000,0.000000,0.000000,0.000000,15419.578125,0.001443,0.000016,0.000000,0.000000,0.000000,5837.504883,0.000642,0.000064,0.000000,0.000000,0.000000
100.000000,54.892399,4.218995,2.889184,0.000000,0.000000,0.000000,0.000000,10.904176,16.951708,2.087105,0.000000,0.000000,0.000000,8.751092,5.330788,3.759352,0.000000,0.000000,0.000000
200.000000,32.253284,2.267433,1.382467,0.000000,0.000000,0.000000,0.000000,7.994016,6.921051,1.791717,0.000000,0.000000,0.000000,7.695918,1.656905,2.543778,0.000000,0.000000,0.000000
300.000000,24.374567,1.336132,0.766348,0.000000,0.000000,0.000000,0.000000,8.206301,3.677899,1.690650,0.000000,0.000000,0.000000,6.215818,0.716812,1.764607,0.000000,0.000000,0.000000
400.000000,18.027836,0.935665,0.439248,0.000000,0.000000,0.000000,0.000000,6.125016,2.084804,1.650318,0.000000,0.000000,0.000000,5.232563,0.325473,1.234749,0.000000,0.000000,0.000000
500.000000,16.173504,0.740927,0.249099,0.000000,0.000000,0.000000,0.000000,6.319904,1.153664,1.550065,0.000000,0.000000,0.000000,4.956853,0.164598,1.038394,0.000000,0.000000,0.000000
600.000000,13.578384,0.603801,0.142768,0.000000,0.000000,0.000000,0.000000,5.812768,0.654094,1.416018,0.000000,0.000000,0.000000,3.856280,0.084817,1.007840,0.000000,0.000000,0.000000
700.000000,12.259849,0.553793,0.087161,0.000000,0.000000,0.000000,0.000000,5.176036,0.371024,1.260782,0.000000,0.000000,0.000000,3.715202,0.051759,1.044093,0.000000,0.000000,0.000000
800.000000,13.145548,0.484455,0.057766,0.000000,0.000000,0.000000,0.000000,4.939328,0.227639,1.111977,0.000000,0.000000,0.000000,5.179451,0.035171,1.109761,0.000000,0.000000,0.000000
900.000000,11.052397,0.456432,0.040528,0.000000,0.000000,0.000000,0.000000,4.832091,0.127720,0.945615,0.000000,0.000000,0.000000,3.427443,0.020770,1.201797,0.000000,0.000000,0.000000
1000.000000,10.900327,0.419978,0.028762,0.000000,0.000000,0.000000,0.000000,5.005840,0.090193,0.783910,0.000000,0.000000,0.000000,3.241062,0.016670,1.313913,0.000000,0.000000,0.000000
1100.000000,10.263100,0.392169,0.021318,0.000000,0.000000,0.000000,0.000000,4.360473,0.046362,0.627249,0.000000,0.000000,0.000000,3.362479,0.009745,1.443304,0.000000,0.000000,0.000000
1200.000000,9.740370,0.365407,0.015789,0.000000,0.000000,0.000000,0.000000,3.973538,0.033974,0.487316,0.000000,0.000000,0.000000,3.272210,0.007633,1.584504,0.000000,0.000000,0.000000
1300.000000,9.866295,0.377239,0.011102,0.000000,0.000000,0.000000,0.000000,3.932243,0.015007,0.349365,0.000000,0.000000,0.000000,3.431626,0.005331,1.744381,0.000000,0.000000,0.000000
1400.000000,9.484055,0.335568,0.007843,0.000000,0.000000,0.000000,0.000000,3.635708,0.015567,0.255053,0.000000,0.000000,0.000000,3.375793,0.003453,1.855072,0.000000,0.000000,0.000000
1500.000000,9.071791,0.313264,0.005083,0.000000,0.000000,0.000000,0.000000,3.469651,0.004827,0.165300,0.000000,0.000000,0.000000,3.110897,0.002795,1.999973,0.000000,0.000000,0.000000
1600.000000,8.934389,0.337272,0.005107,0.000000,0.000000,0.000000,0.000000,3.208588,0.000695,0.091532,0.000000,0.000000,0.000000,3.163834,0.000825,2.126536,0.000000,0.000000,0.000000
1700.000000,9.087812,0.287849,0.003796,0.000000,0.000000,0.000000,0.000000,3.310005,0.000109,0.047329,0.000000,0.000000,0.000000,3.235110,0.000002,2.203612,0.000000,0.000000,0.000000
1800.000000,8.594885,0.269769,0.002683,0.000000,0.000000,0.000000,0.000000,2.814255,0.000085,0.020599,0.000000,0.000000,0.000000,3.245768,0.000079,2.241647,0.000000,0.000000,0.000000
1900.000000,8.828433,0.269648,0.009755,0.000000,0.000000,0.000000,0.000000,3.458230,0.000009,0.009890,0.000000,0.000000,0.000000,2.903982,0.001482,2.175438,0.000000,0.000000,0.000000
2000.000000,9.230223,0.300978,0.003952,0.000000,0.000000,0.000000,0.000000,2.572257,0.001010,0.001005,0.000000,0.000000,0.000000,4.260992,0.006088,2.083941,0.000000,0.000000,0.000000
2100.000000,8.398270,0.241105,0.001941,0.000000,0.000000,0.000000,0.000000,2.847484,0.002433,0.000285,0.000000,0.000000,0.000000,3.443922,0.011518,1.849581,0.000000,0.000000,0.000000
2200.000000,8.102451,0.275971,0.010244,0.000000,0.000000,0.000000,0.000000,2.500246,0.001191,0.000909,0.000000,0.000000,0.000000,3.818712,0.023151,1.472029,0.000000,0.000000,0.000000
2300.000000,10.425428,0.217272,0.003975,0.000000,0.000000,0.000000,0.000000,2.468504,0.002186,0.005954,0.000000,0.000000,0.000000,6.623910,0.036531,1.067096,0.000000,0.000000,0.000000
2400.000000,5.723130,0.377757,0.006017,0.000000,0.000000,0.000000,0.000000,2.936774,0.000269,0.007117,0.000000,0.000000,0.000000,1.711359,0.045222,0.638615,0.000000,0.000000,0.000000
2500.000000,4.890451,0.208569,0.003700,0.000000,0.000000,0.000000,0.000000,2.416319,0.000856,0.012516,0.000000,0.000000,0.000000,1.842268,0.060492,0.345732,0.000000,0.000000,0.000000
2600.000000,4.139119,0.250344,0.004178,0.000000,0.000000,0.000000,0.000000,2.486602,0.000463,0.014928,0.000000,0.000000,0.000000,1.151822,0.063933,0.166849,0.000000,0.000000,0.000000
2700.000000,3.716701,0.206741,0.002761,0.000000,0.000000,0.000000,0.000000,2.396955,0.000293,0.019681,0.000000,0.000000,0.000000,0.954674,0.044670,0.090926,0.000000,0.000000,0.000000
2800.000000,3.768877,0.248417,0.018299,0.000000,0.000000,0.000000,0.000000,2.298664,0.000478,0.015987,0.000000,0.000000,0.000000,1.110020,0.047970,0.029042,0.000000,0.000000,0.000000
2900.000000,3.317810,0.199763,0.005063,0.000000,0.000000,0.000000,0.000000,2.122370,0.000001,0.027259,0.000000,0.000000,0.000000,0.901798,0.045662,0.015895,0.000000,0.000000,0.000000
3000.000000,3.412941,0.203282,0.002039,0.000000,0.000000,0.000000,0.000000,2.245591,0.000024,0.031664,0.000000,0.000000,0.000000,0.879842,0.044802,0.005698,0.000000,0.000000,0.000000
3100.000000,3.164952,0.197372,0.009455,0.000000,0.000000,0.000000,0.000000,2.217346,0.000008,0.032888,0.000000,0.000000,0.000000,0.663071,0.042744,0.002069,0.000000,0.000000,0.000000
3200.000000,2.867217,0.180159,0.002722,0.000000,0.000000,0.000000,0.000000,1.970698,0.000947,0.035763,0.000000,0.000000,0.000000,0.650243,0.025491,0.001194,0.000000,0.000000,0.000000
3300.000000,3.455725,0.441760,0.007978,0.000000,0.000000,0.000000,0.000000,2.165577,0.011761,0.028352,0.000000,0.000000,0.000000,0.769928,0.027185,0.003184,0.000000,0.000000,0.000000
3400.000000,2.841444,0.192688,0.004468,0.000000,0.000000,0.000000,0.000000,2.015685,0.003396,0.043047,0.000000,0.000000,0.000000,0.557531,0.022161,0.002468,0.000000,0.000000,0.000000
3500.000000,3.774950,1.198054,0.003179,0.000000,0.000000,0.000000,0.000000,2.048714,0.008701,0.040373,0.000000,0.000000,0.000000,0.456796,0.013693,0.005442,0.000000,0.000000,0.000000
3600.000000,2.708992,0.190121,0.003553,0.000000,0.000000,0.000000,0.000000,1.956445,0.005862,0.047942,0.000000,0.000000,0.000000,0.487397,0.011111,0.006560,0.000000,0.000000,0.000000
3700.000000,3.137775,0.382028,0.011542,0.000000,0.000000,0.000000,0.000000,2.124945,0.006418,0.049587,0.000000,0.000000,0.000000,0.547277,0.006410,0.009568,0.000000,0.000000,0.000000
3800.000000,2.532503,0.175620,0.003005,0.000000,0.000000,0.000000,0.000000,1.912238,0.005504,0.054619,0.000000,0.000000,0.000000,0.363385,0.004697,0.013434,0.000000,0.000000,0.000000
3900.000000,2.658913,0.192645,0.001240,0.000000,0.000000,0.000000,0.000000,1.810404,0.011621,0.051082,0.000000,0.000000,0.000000,0.579180,0.000012,0.012729,0.000000,0.000000,0.000000
4000.000000,5.560072,0.208969,0.003634,0.000000,0.000000,0.000000,0.000000,4.850357,0.023866,0.042322,0.000000,0.000000,0.000000,0.404858,0.000731,0.025334,0.000000,0.000000,0.000000
4100.000000,3.484986,1.410257,0.002476,0.000000,0.000000,0.000000,0.000000,1.614043,0.019054,0.054297,0.000000,0.000000,0.000000,0.354956,0.000394,0.029510,0.000000,0.000000,0.000000
4200.000000,2.513819,0.165175,0.010315,0.000000,0.000000,0.000000,0.000000,1.713088,0.010840,0.054789,0.000000,0.000000,0.000000,0.530692,0.000648,0.028273,0.000000,0.000000,0.000000
4300.000000,2.105934,0.155035,0.002398,0.000000,0.000000,0.000000,0.000000,1.515375,0.024650,0.046452,0.000000,0.000000,0.000000,0.321702,0.000126,0.040194,0.000000,0.000000,0.000000
4400.000000,2.458866,0.204309,0.001047,0.000000,0.000000,0.000000,0.000000,1.745628,0.013203,0.048027,0.000000,0.000000,0.000000,0.404180,0.000058,0.042413,0.000000,0.000000,0.000000
4500.000000,3.271905,0.923701,0.002428,0.000000,0.000000,0.000000,0.000000,1.514879,0.016964,0.041581,0.000000,0.000000,0.000000,0.728465,0.003419,0.040469,0.000000,0.000000,0.000000
4600.000000,2.211579,0.135894,0.014422,0.000000,0.000000,0.000000,0.000000,1.445624,0.036295,0.031939,0.000000,0.000000,0.000000,0.489375,0.001634,0.056395,0.000000,0.000000,0.000000
4700.000000,2.297784,0.127740,0.002815,0.000000,0.000000,0.000000,0.000000,1.780030,0.019836,0.036315,0.000000,0.000000,0.000000,0.272769,0.001359,0.056920,0.000000,0.000000,0.000000
4800.000000,2.313881,0.129433,0.000759,0.000000,0.000000,0.000000,0.000000,1.335891,0.026632,0.028297,0.000000,0.000000,0.000000,0.699925,0.058528,0.034417,0.000000,0.000000,0.000000
4900.000000,1.692758,0.155899,0.018221,0.000000,0.000000,0.000000,0.000000,1.157806,0.016733,0.023036,0.000000,0.000000,0.000000,0.252699,0.007938,0.060426,0.000000,0.000000,0.000000
5000.000000,1.476427,0.096649,0.002031,0.000000,0.000000,0.000000,0.000000,1.030088,0.015995,0.018575,0.000000,0.000000,0.000000,0.241772,0.004008,0.067309,0.000000,0.000000,0.000000
5100.000000,1.358593,0.084360,0.000410,0.000000,0.000000,0.000000,0.000000,0.910111,0.015321,0.011945,0.000000,0.000000,0.000000,0.262424,0.002460,0.071562,0.000000,0.000000,0.000000
